Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
 -> Total -> Total Iowa,2480577,310752,40820,22898,187501,1616969,301637
White only,2275379,280684,32886,22898,150511,1520649,267751
Black only,99379,16188,7934,0,11436,40038,23783
"American Indian, Alaskan Native Only",10378,2674,0,0,0,2320,5384
Asian only,76928,11206,0,0,25554,35449,4719
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,12224,0,0,0,0,12224,0
White-AI,0,0,0,0,0,0,0
White-Asian,3341,0,0,0,0,3341,0
White-HP,0,0,0,0,0,0,0
Black-AI,2948,0,0,0,0,2948,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Kansas,2239211,200046,45838,34127,265250,1296913,397037
White only,1930424,170668,41982,23226,182388,1180980,331180
Black only,109334,9411,3856,2487,12789,59114,21677
"American Indian, Alaskan Native Only",26076,7114,0,0,0,11096,7866
Asian only,93983,10573,0,8414,40476,10638,23882
Hawaiian/Pacific Islander Only,24801,0,0,0,24801,0,0
White-Black,12679,2280,0,0,0,10399,0
White-AI,25774,0,0,0,0,15969,9805
White-Asian,1365,0,0,0,0,1365,0
White-HP,6979,0,0,0,0,4352,2627
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
